time,"[Clarity]Air Temp. in Vehicle (℃)","[Clarity]Air Temp. Outside Vehicle (℃)","[Clarity]Battery Capacity (LineB) (Ah)","[Clarity]Battery Capacity (total) (Ah)","[Clarity]HV Battery Voltage (LineA) (V)","[Clarity]HV Battery Voltage (LineB) (V)","[Clarity]HV Total Battery Current (A)","[Clarity]Individual Cell Max SOC (Line A) (%)","[Clarity]Individual Cell Max SOC (Line B) (%)","[Clarity]Individual Cell Min SOC (Line A) (%)","[Clarity]Individual Cell Min SOC (Line B) (%)","[Clarity]Odometer (miles)","[Clarity]SOC (%)","Altitude (GPS) (feet)","Average speed (mph)","Average speed (GPS) (mph)","Distance travelled (miles)","Distance travelled (total) (miles)","EV Instant Energy Consumption (km/kWh)","EV Instant Energy Consumption [kWh/100km] (mi/kWh)","HV EV Battery Power (kW)","Hybrid/EV battery pack remaining charge (%)","Hybrid/EV Battery System Current (A)","Hybrid/EV Battery System Voltage (V)","Speed (GPS) (mph)","Vehicle acceleration (g)","Vehicle speed (mph)",Latitude,Longtitude,
20:30:09.482,,,,,,,,,,,,,,5766.7327082959,,0,,,,,,,,,0,,,39.5758814,-104.8650881,
20:30:09.486,,,,,,,,,,,,,,5766.7327082959,,,,,,,,,,,,,,39.5758814,-104.8650881,
20:30:09.487,,,,,,,,,,,,,,5766.7327082959,,0,,,,,,,,,0,,,39.5758814,-104.8650881,
20:30:09.708,,,,,,,,,,,,,,5764.02096908203,,0,,,,,,,,,0,,,39.5758814,-104.8650881,
20:30:09.715,,,,,,,,,,,,,,5764.02096908203,,,,,,,,,,,,,,39.57571563,-104.86480315,
20:30:09.716,,,,,,,,,,,,,,5764.02096908203,,0,,,,,,,,,0,,,39.57571563,-104.86480315,
20:30:09.856,,,,,,,,,,,,,,5759.51462,,0,,,,,,,,,0,,,39.57571563,-104.86480315,
20:30:09.857,,,,,,,,,,,,,,5759.51462,,0,,,,,,,,,0,,,39.57571563,-104.86480315,
20:30:10.699,,,,,,,,,,,,,,5764.14752492187,,,,,,,,,,,,,,39.57571654,-104.86480328,
20:30:10.703,,,,,,,,,,,,,,5764.14752492187,,0,,,,,,,,,0,,,39.57571654,-104.86480328,
20:30:10.855,,,,,,,,,,,,,,5757.8742,,0,,,,,,,,,0,,,39.57571654,-104.86480328,
20:30:11.596,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,39.57571654,-104.86480328,
20:30:11.714,,,,,,,,,,,,,,,,,,,,,,94,,,,,,39.57571654,-104.86480328,
20:30:11.718,,,,,,,,,,,,,,5764.25726004883,,,,,,,,,,,,,,39.57571572,-104.86480287,
20:30:11.719,,,,,,,,,,,,,,5764.25726004883,,0,,,,,,,,,0,,,39.57571572,-104.86480287,
20:30:11.789,,,,,,,,,,,,,,,,,,,,,,,,338.796875,,,,39.57571572,-104.86480287,
20:30:11.907,,,,,,,,,,,,,,5757.8742,,0,,,,,,,,,0,,,39.57571572,-104.86480287,
20:30:12.071,15,7,,54.98,338.7,,1.1,91.91,,91.14,,,95,,,,,,,,,,,,,,,39.57571572,-104.86480287,
20:30:12.380,,,27.49,,,338.7,,,92.16,,91.1,,,,,,,,,,0.37257,,,,,,,39.57571572,-104.86480287,
20:30:12.634,,,,,,,,,,,,69369,,,,,,,,,,,,,,,,39.57571572,-104.86480287,
20:30:12.709,,,,,,,,,,,,,,5764.69379759766,,,,,,,,,,,,,,39.57571536,-104.86480627,
20:30:12.712,,,,,,,,,,,,,,5764.69379759766,,0,,,,,,,,,0,,,39.57571536,-104.86480627,
20:30:12.764,,,,,,,,,,,,,,,,,0,280.671427971048,0,,,,,,,7.27025367356131E-05,0,39.57571536,-104.86480627,
20:30:12.830,,,,,,,,,,,,,,,,,,,,,,94,,,,,,39.57571536,-104.86480627,
20:30:12.847,,,,,,,,,,,,,,5757.8742,,0,,,,,,,,,0,,,39.57571536,-104.86480627,
20:30:12.895,,,,,,,,,,,,,,,,,,,,,,,1.1,338.8125,,,,39.57571536,-104.86480627,
20:30:13.195,15,7,,54.98,338.7,,1.18,91.91,,91.14,,,95,,,,,,,,,,,,,,,39.57571536,-104.86480627,
20:30:13.580,,,27.49,,,338.7,,,92.16,,91.1,,,,,,,,,,0.399666,,,,,,,39.57571536,-104.86480627,
20:30:13.705,,,,,,,,,,,,,,5765.4355109375,,,,,,,,,,,,,,39.57571648,-104.86480402,
